Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Rank
2011,Sports,0.19,0.11,0.25,0.6,3337
2004,Racing,0.43,0.16,0,0.6,3338
2005,Platform,0.5,0.02,0,0.6,3339
2001,Racing,0.4,0.1,0.09,0.6,3340
2003,Fighting,0.3,0.23,0,0.6,3341
2005,Fighting,0.42,0.16,0,0.6,3342
2010,Role-Playing,0,0,0.6,0.6,3343
2007,Action,0.28,0.25,0,0.6,3344
2007,Sports,0.5,0.02,0,0.6,3345
2011,Action,0.36,0.19,0,0.6,3346
2013,Action,0.33,0.22,0,0.6,3347
N/A,Action,0.26,0.28,0,0.6,3348
2009,Misc,0.18,0.19,0.2,0.6,3349
2009,Sports,0.38,0.15,0,0.6,3350
2015,Action,0.31,0.22,0.03,0.6,3351
2011,Adventure,0.22,0.25,0.04,0.6,3352
2014,Action,0.12,0.37,0,0.6,3353
1995,Role-Playing,0.21,0.14,0.21,0.6,3354
2009,Platform,0.13,0.18,0,0.6,3355
2001,Racing,0.29,0.23,0,0.6,3356
2009,Action,0.22,0.24,0,0.6,3357
2006,Action,0.5,0.02,0,0.6,3358
1997,Puzzle,0,0,0.6,0.6,3359
2001,Shooter,0.29,0.23,0,0.6,3360
2014,Action,0.34,0.21,0,0.6,3361
2000,Racing,0.37,0.08,0.14,0.6,3362
1997,Sports,0.09,0.26,0.23,0.6,3363
2013,Platform,0.4,0.15,0,0.6,3364
2001,Racing,0.29,0.23,0,0.6,3365
2008,Misc,0.32,0.23,0,0.6,3366
2002,Fighting,0,0,0.56,0.6,3367
1998,Simulation,0,0,0.56,0.6,3368
2005,Racing,0.49,0.03,0.03,0.6,3369
2012,Strategy,0.24,0.25,0,0.6,3370
2010,Racing,0.25,0.28,0,0.6,3371
1998,Adventure,0.33,0.23,0,0.6,3372
2012,Action,0.55,0.01,0,0.6,3373
1995,Strategy,0,0,0.6,0.6,3374
2010,Sports,0.4,0.13,0,0.6,3375
2012,Adventure,0.38,0.16,0,0.6,3376
2008,Misc,0.34,0.2,0,0.6,3377
2014,Action,0.26,0.24,0,0.6,3378
2007,Sports,0.29,0.23,0,0.6,3379
2004,Racing,0.31,0.22,0,0.6,3380
2010,Fighting,0.29,0.22,0,0.6,3381
2003,Strategy,0,0,0.6,0.6,3382
2005,Puzzle,0.26,0,0.31,0.6,3383
2008,Action,0,0.53,0,0.59,3384
2004,Racing,0.29,0.23,0,0.59,3385
2012,Platform,0.13,0.35,0,0.59,3386
2012,Sports,0.07,0.46,0,0.59,3387
2008,Sports,0.15,0.38,0,0.59,3388
2005,Strategy,0,0,0.59,0.59,3389
2010,Misc,0.56,0,0,0.59,3390
1997,Sports,0,0,0.56,0.59,3391
2011,Action,0.15,0.34,0,0.59,3392
1998,Sports,0.33,0.22,0,0.59,3393
2001,Misc,0.33,0.22,0,0.59,3394
2002,Shooter,0.46,0.12,0,0.59,3395
2009,Role-Playing,0.23,0.11,0.23,0.59,3396
2008,Action,0.31,0.22,0,0.59,3397
2010,Shooter,0.17,0.28,0.05,0.59,3398
2000,Sports,0.33,0.22,0,0.59,3399
2011,Strategy,0.19,0.31,0,0.59,3400
1998,Sports,0,0,0.55,0.59,3401
2008,Misc,0.29,0.23,0,0.59,3402
2012,Action,0,0,0.59,0.59,3403
2009,Action,0.21,0.24,0,0.59,3404
1981,Puzzle,0.55,0.03,0,0.59,3405
2008,Action,0.24,0.28,0,0.59,3406
2002,Sports,0.21,0.17,0.16,0.59,3407
2004,Sports,0.44,0.13,0,0.59,3408
2002,Platform,0.46,0.12,0,0.59,3409
1981,Action,0.55,0.03,0,0.59,3410
2007,Misc,0.54,0,0,0.59,3411
2008,Action,0.53,0.02,0,0.59,3412
2007,Action,0.52,0.03,0,0.59,3413
1997,Racing,0.47,0.11,0,0.59,3414
1999,Sports,0.47,0.11,0,0.59,3415
2013,Shooter,0.33,0.21,0,0.59,3416
2003,Sports,0.36,0.08,0.14,0.59,3417
2004,Role-Playing,0,0,0.59,0.59,3418
2012,Fighting,0.39,0.14,0.02,0.59,3419
2011,Sports,0.36,0.16,0,0.59,3420
2015,Role-Playing,0.05,0.09,0.42,0.59,3421
2010,Action,0.13,0.22,0.01,0.59,3422
N/A,Sports,0.54,0,0.01,0.59,3423
2008,Sports,0.51,0.04,0,0.59,3424
2010,Misc,0.36,0.18,0,0.59,3425
1999,Action,0.33,0.22,0,0.59,3426
2008,Action,0.18,0.34,0,0.59,3427
2004,Platform,0.29,0.22,0,0.59,3428
2007,Role-Playing,0.39,0.02,0.13,0.59,3429
2015,Role-Playing,0.2,0.22,0.08,0.59,3430
2008,Action,0.35,0.14,0,0.59,3431
2011,Shooter,0.25,0.25,0,0.59,3432
2010,Sports,0.28,0.21,0,0.59,3433
2003,Simulation,0.34,0.13,0.11,0.59,3434
2003,Sports,0.29,0.22,0,0.59,3435
2009,Sports,0.14,0.37,0,0.59,3436
1994,Sports,0,0,0.59,0.59,3437
2012,Shooter,0.26,0.22,0,0.59,3438
2003,Action,0.22,0.17,0.14,0.58,3439
2008,Action,0.15,0.37,0,0.58,3440
2007,Simulation,0.53,0.01,0,0.58,3441
2008,Action,0.29,0.22,0,0.58,3442
2009,Shooter,0.29,0.23,0,0.58,3443
2015,Misc,0.28,0.25,0,0.58,3444
1995,Simulation,0,0,0.55,0.58,3445
1997,Role-Playing,0.29,0.19,0.07,0.58,3446
2010,Sports,0.53,0.02,0,0.58,3447
2014,Sports,0.3,0.18,0,0.58,3448
1982,Puzzle,0.55,0.03,0,0.58,3449
2005,Role-Playing,0.06,0.04,0.47,0.58,3450
2004,Role-Playing,0.49,0.02,0,0.58,3451
2008,Simulation,0.35,0.03,0.17,0.58,3452
2009,Misc,0.21,0.31,0,0.58,3453
2008,Platform,0.35,0.18,0,0.58,3454
2009,Simulation,0.02,0.18,0,0.58,3455
2014,Sports,0.3,0.22,0.02,0.58,3456
2011,Platform,0.23,0.29,0,0.58,3457
2015,Sports,0.31,0.22,0,0.58,3458
2014,Shooter,0.21,0.3,0,0.58,3459
2008,Sports,0.54,0,0,0.58,3460
2009,Action,0.31,0.19,0.02,0.58,3461
2000,Sports,0.32,0.22,0,0.58,3462
2013,Platform,0.27,0.26,0,0.58,3463
2003,Action,0.28,0.22,0,0.58,3464
2010,Shooter,0.37,0.15,0,0.58,3465
2010,Simulation,0.27,0.06,0.22,0.58,3466
1997,Sports,0.15,0.39,0,0.58,3467
1998,Sports,0.14,0.4,0,0.58,3468
1998,Sports,0.06,0.3,0.19,0.58,3469
N/A,Racing,0.28,0.22,0,0.58,3470
2000,Shooter,0.28,0.22,0,0.58,3471
2000,Role-Playing,0.23,0.16,0.16,0.58,3472
1998,Role-Playing,0,0,0.54,0.58,3473
2005,Action,0.33,0.22,0,0.58,3474
2004,Role-Playing,0.28,0.22,0,0.58,3475
1998,Platform,0.32,0.22,0,0.58,3476
2004,Adventure,0.42,0.15,0,0.58,3477
2007,Action,0.25,0,0.31,0.58,3478
2013,Fighting,0.05,0.02,0.5,0.58,3479
2009,Simulation,0.53,0,0,0.58,3480
2002,Shooter,0.28,0.22,0,0.58,3481
1998,Racing,0.32,0.22,0,0.58,3482
1992,Role-Playing,0,0,0.58,0.58,3483
2006,Sports,0.53,0,0,0.58,3484
2015,Sports,0.21,0.27,0,0.58,3485
2006,Adventure,0.24,0.05,0.26,0.58,3486
1996,Strategy,0,0,0.58,0.58,3487
2010,Misc,0.43,0.09,0,0.58,3488
2011,Role-Playing,0.27,0.11,0.14,0.58,3489
2009,Fighting,0.36,0.1,0.06,0.58,3490
2000,Action,0.32,0.22,0,0.58,3491
2002,Sports,0.45,0.12,0,0.58,3492
2011,Sports,0.54,0,0,0.58,3493
2006,Action,0.28,0.22,0,0.58,3494
2005,Sports,0.48,0.02,0,0.58,3495
2009,Sports,0.38,0.12,0,0.58,3496
2010,Adventure,0.1,0.41,0.01,0.58,3497
2009,Sports,0.52,0.02,0,0.58,3498
1999,Role-Playing,0.32,0.22,0,0.58,3499
2010,Puzzle,0.34,0.17,0.02,0.58,3500
1999,Sports,0.55,0.02,0,0.58,3501
2008,Platform,0,0.53,0,0.58,3502
N/A,Sports,0.53,0.02,0,0.58,3503
2009,Sports,0.28,0.22,0,0.58,3504
2008,Action,0.08,0.37,0,0.57,3505
2013,Role-Playing,0.28,0,0.27,0.57,3506
1994,Simulation,0.24,0.16,0.13,0.57,3507
2007,Shooter,0.29,0.23,0,0.57,3508
2007,Platform,0.49,0.04,0,0.57,3509
2005,Racing,0.53,0,0,0.57,3510
2005,Shooter,0.32,0.24,0,0.57,3511
2008,Puzzle,0.28,0.22,0,0.57,3512
2002,Sports,0.41,0.15,0,0.57,3513
2009,Action,0.23,0.28,0,0.57,3514
2005,Role-Playing,0,0,0.57,0.57,3515
2011,Action,0.37,0.15,0,0.57,3516
2008,Action,0.27,0.24,0,0.57,3517
2000,Strategy,0,0,0.54,0.57,3518
2004,Action,0.41,0.15,0,0.57,3519
2010,Action,0.24,0.24,0.01,0.57,3520
2008,Action,0.53,0,0,0.57,3521
1995,Role-Playing,0.11,0.08,0.35,0.57,3522
2008,Action,0.22,0.02,0,0.57,3523
2007,Action,0.21,0.23,0,0.57,3524
2011,Shooter,0.25,0.27,0,0.57,3525
2005,Sports,0.44,0.11,0,0.57,3526
2007,Action,0.3,0.17,0.04,0.57,3527
2010,Action,0.01,0.45,0,0.57,3528
2008,Simulation,0.52,0.01,0,0.57,3529
2004,Fighting,0.47,0.02,0,0.57,3530
2013,Shooter,0.38,0.15,0,0.57,3531
2006,Simulation,0.51,0.02,0,0.57,3532
2009,Role-Playing,0.36,0.12,0.03,0.57,3533
1986,Action,0,0,0.57,0.57,3534
1997,Sports,0.48,0.08,0,0.57,3535
2009,Sports,0.52,0.01,0,0.57,3536
2011,Action,0.1,0.12,0.29,0.57,3537
2010,Misc,0.27,0.25,0,0.57,3538
2001,Shooter,0.43,0.12,0,0.57,3539
2005,Action,0.11,0.08,0.35,0.57,3540
2011,Action,0.32,0.2,0,0.57,3541
2008,Platform,0.5,0.03,0,0.57,3542
2002,Misc,0.28,0.22,0,0.57,3543
2006,Sports,0.47,0.02,0,0.57,3544
2002,Racing,0.42,0.11,0.02,0.57,3545
1992,Puzzle,0,0,0.57,0.57,3546
2003,Platform,0.45,0.1,0,0.57,3547
2012,Shooter,0.19,0.25,0.04,0.57,3548
2002,Strategy,0,0,0.57,0.57,3549
2007,Adventure,0.29,0.22,0,0.57,3550
2002,Racing,0.39,0.16,0,0.57,3551
2004,Action,0.19,0.15,0.17,0.57,3552
2000,Action,0.31,0.21,0,0.57,3553
2003,Shooter,0.28,0.22,0,0.57,3554
2013,Sports,0.28,0.19,0,0.57,3555
2009,Misc,0.4,0.12,0,0.57,3556
2008,Adventure,0.19,0.31,0,0.57,3557
2008,Action,0.09,0.4,0,0.57,3558
2009,Action,0.21,0.22,0.05,0.57,3559
2015,Action,0.24,0.28,0,0.56,3560
2000,Role-Playing,0.11,0.08,0.34,0.56,3561
2003,Action,0.44,0.11,0,0.56,3562
2007,Role-Playing,0.23,0.18,0.09,0.56,3563
2007,Platform,0.26,0.04,0.24,0.56,3564
2003,Action,0.4,0.15,0,0.56,3565
2004,Puzzle,0.4,0.15,0,0.56,3566
2006,Sports,0.28,0.22,0,0.56,3567
2003,Action,0.4,0.15,0,0.56,3568
2001,Sports,0.28,0.22,0,0.56,3569
2004,Puzzle,0.31,0.11,0.13,0.56,3570
2003,Simulation,0.4,0.14,0,0.56,3571
2007,Sports,0.28,0.22,0,0.56,3572
2001,Platform,0.31,0.21,0,0.56,3573
2006,Misc,0.28,0.21,0,0.56,3574
2006,Sports,0.41,0.08,0,0.56,3575
2004,Misc,0.4,0.15,0,0.56,3576
2004,Sports,0.28,0.21,0,0.56,3577
2007,Adventure,0.27,0.05,0.22,0.56,3578
2001,Fighting,0.28,0.21,0,0.56,3579
1999,Action,0.31,0.21,0,0.56,3580
2011,Action,0.32,0.19,0,0.56,3581
2007,Simulation,0.28,0.21,0,0.56,3582
2005,Shooter,0.39,0.15,0,0.56,3583
2009,Shooter,0.28,0.22,0,0.56,3584
2001,Sports,0.27,0.21,0,0.56,3585
2002,Sports,0.4,0.15,0,0.56,3586
2005,Racing,0.43,0.11,0,0.56,3587
2000,Racing,0.31,0.21,0,0.56,3588
2010,Sports,0.41,0.11,0,0.56,3589
2007,Sports,0.49,0.02,0,0.56,3590
2003,Fighting,0.43,0.11,0,0.56,3591
1999,Action,0.39,0.09,0.07,0.56,3592
1993,Platform,0.09,0.02,0.45,0.56,3593
2007,Action,0.27,0.21,0,0.56,3594
2015,Role-Playing,0.26,0.14,0.12,0.56,3595
2003,Role-Playing,0.15,0.12,0.26,0.56,3596
2011,Misc,0.44,0.08,0,0.56,3597
2011,Role-Playing,0.13,0.09,0.27,0.56,3598
2008,Shooter,0.34,0.15,0.01,0.56,3599
2009,Misc,0.15,0.35,0,0.56,3600
2001,Role-Playing,0,0,0.56,0.56,3601
2005,Action,0.27,0.21,0,0.56,3602
2008,Simulation,0.27,0.23,0,0.56,3603
2003,Misc,0.27,0.21,0,0.56,3604
2002,Misc,0.4,0.15,0,0.56,3605
2003,Strategy,0.4,0.15,0,0.56,3606
2002,Platform,0.39,0.15,0,0.56,3607
2008,Action,0.32,0.18,0,0.56,3608
2005,Puzzle,0.17,0.24,0,0.56,3609
2003,Sports,0.27,0.21,0,0.56,3610
1994,Fighting,0,0,0.56,0.56,3611
2006,Simulation,0.49,0.02,0,0.56,3612
2005,Sports,0.52,0.02,0,0.56,3613
2008,Misc,0,0,0.56,0.56,3614
2014,Sports,0.28,0.23,0,0.56,3615
2008,Simulation,0.48,0.04,0,0.56,3616
2013,Role-Playing,0.18,0.09,0.22,0.56,3617
2009,Action,0.27,0.23,0,0.56,3618
2010,Sports,0.24,0.26,0,0.56,3619
2001,Shooter,0.27,0.21,0,0.56,3620
2006,Role-Playing,0.37,0.02,0.14,0.56,3621
2010,Racing,0.5,0.02,0,0.56,3622
2006,Sports,0.51,0,0,0.56,3623
2001,Racing,0.27,0.21,0,0.56,3624
2007,Simulation,0.18,0.36,0,0.56,3625
2006,Sports,0.42,0.12,0,0.56,3626
2011,Action,0.39,0.08,0.02,0.56,3627
2011,Racing,0.37,0.14,0,0.56,3628
1998,Role-Playing,0.27,0.18,0.06,0.55,3629
2015,Fighting,0.15,0.2,0.14,0.55,3630
1999,Sports,0.31,0.21,0,0.55,3631
2010,Simulation,0.41,0.11,0,0.55,3632
2014,Role-Playing,0.35,0.16,0,0.55,3633
2001,Action,0.27,0.21,0,0.55,3634
2005,Action,0.34,0.01,0.15,0.55,3635
2013,Platform,0.35,0.13,0,0.55,3636
2006,Action,0.42,0.11,0,0.55,3637
1994,Racing,0,0,0.55,0.55,3638
2010,Action,0.22,0.28,0,0.55,3639
2012,Sports,0.24,0.22,0,0.55,3640
2002,Fighting,0.4,0.13,0,0.55,3641
1996,Role-Playing,0,0,0.52,0.55,3642
2005,Fighting,0,0,0.55,0.55,3643
2009,Fighting,0.3,0.17,0,0.55,3644
1982,Sports,0.52,0.03,0,0.55,3645
2001,Shooter,0.31,0.21,0,0.55,3646
2009,Misc,0.52,0,0,0.55,3647
1999,Action,0.31,0.21,0,0.55,3648
1996,Adventure,0,0,0.55,0.55,3649
2016,Action,0,0,0.55,0.55,3650
2001,Action,0.21,0.16,0.12,0.55,3651
2001,Adventure,0.27,0.21,0,0.55,3652
2012,Shooter,0.29,0.15,0.04,0.55,3653
2010,Fighting,0.32,0.16,0.03,0.55,3654
2007,Action,0.47,0.04,0,0.55,3655
2007,Shooter,0.18,0.27,0,0.55,3656
2008,Platform,0.33,0.22,0,0.55,3657
2014,Action,0.17,0.33,0,0.55,3658
2004,Sports,0,0,0.55,0.55,3659
2007,Sports,0.5,0.01,0,0.55,3660
2008,Sports,0.51,0,0,0.55,3661
2008,Puzzle,0.51,0,0,0.55,3662
2002,Sports,0.34,0.18,0,0.55,3663
2002,Platform,0.22,0.08,0.24,0.55,3664
2000,Fighting,0.31,0.21,0,0.55,3665
2014,Action,0.2,0.25,0.02,0.55,3666
1996,Shooter,0.31,0.21,0,0.55,3667
1999,Strategy,0,0,0.51,0.55,3668
1997,Strategy,0,0,0.55,0.55,3669
2004,Platform,0.4,0.13,0,0.55,3670
2002,Sports,0,0,0.55,0.55,3671
2010,Shooter,0.18,0.21,0.07,0.55,3672
2001,Action,0.39,0.15,0,0.55,3673
1998,Strategy,0,0,0.55,0.55,3674
2010,Action,0.3,0.19,0,0.55,3675
2012,Role-Playing,0.31,0,0.21,0.55,3676
2008,Sports,0.49,0.02,0,0.55,3677
2003,Platform,0.39,0.15,0,0.55,3678
2010,Action,0.11,0.05,0.36,0.55,3679
1995,Fighting,0.29,0.2,0.02,0.55,3680
2002,Shooter,0.39,0.14,0,0.55,3681
2005,Racing,0.45,0.02,0,0.55,3682
2010,Shooter,0.22,0.24,0.03,0.55,3683
2008,Misc,0.51,0,0,0.55,3684
2003,Misc,0.27,0.21,0,0.55,3685
1996,Misc,0.3,0.21,0,0.55,3686
2004,Shooter,0.4,0.12,0,0.55,3687
2006,Fighting,0.26,0.08,0.13,0.55,3688
2014,Action,0.12,0.32,0,0.54,3689
2008,Action,0.36,0,0,0.54,3690
2008,Misc,0,0.06,0,0.54,3691
2007,Sports,0.49,0.02,0,0.54,3692
2009,Sports,0.46,0.03,0.01,0.54,3693
2004,Platform,0.4,0.12,0,0.54,3694
2006,Sports,0.16,0.35,0,0.54,3695
2000,Sports,0,0,0.54,0.54,3696
1999,Role-Playing,0,0,0.54,0.54,3697
2006,Racing,0.4,0.03,0.08,0.54,3698
2009,Role-Playing,0.29,0.17,0.04,0.54,3699
2008,Racing,0.07,0.4,0,0.54,3700
2003,Simulation,0.42,0.11,0,0.54,3701
2010,Racing,0.11,0.27,0.02,0.54,3702
2005,Racing,0.27,0.21,0,0.54,3703
2011,Role-Playing,0.4,0.08,0.03,0.54,3704
2012,Racing,0.08,0.33,0.01,0.54,3705
2011,Misc,0.25,0.2,0,0.54,3706
2003,Strategy,0.14,0.11,0.25,0.54,3707
2003,Platform,0.39,0.14,0,0.54,3708
2015,Action,0.15,0.3,0,0.54,3709
2008,Role-Playing,0,0.14,0.38,0.54,3710
2010,Role-Playing,0,0,0.54,0.54,3711
2015,Adventure,0.29,0.21,0,0.54,3712
2015,Action,0.13,0.24,0.1,0.54,3713
2007,Action,0.25,0.23,0,0.54,3714
2004,Racing,0.26,0.21,0,0.54,3715
2010,Puzzle,0.42,0.09,0,0.54,3716
N/A,Fighting,0.43,0.1,0,0.54,3717
1982,Action,0.5,0.03,0,0.54,3718
1999,Action,0.43,0.1,0,0.54,3719
1998,Sports,0.11,0.39,0,0.54,3720
2011,Fighting,0,0,0.54,0.54,3721
2011,Fighting,0.39,0.1,0.01,0.54,3722
2013,Role-Playing,0.21,0.13,0.13,0.54,3723
1998,Misc,0.09,0.06,0.35,0.54,3724
2005,Action,0.29,0.08,0.16,0.54,3725
2002,Role-Playing,0,0,0.54,0.54,3726
2008,Misc,0.24,0.23,0,0.54,3727
1999,Misc,0,0,0.5,0.54,3728
2013,Sports,0.4,0.1,0,0.54,3729
2010,Role-Playing,0.12,0.16,0.18,0.54,3730
2014,Action,0.28,0.21,0,0.54,3731
2012,Sports,0.51,0,0,0.54,3732
2008,Role-Playing,0.33,0.03,0.15,0.54,3733
2009,Shooter,0.13,0.29,0.01,0.54,3734
2011,Racing,0.22,0.23,0,0.54,3735
2004,Misc,0.39,0.14,0,0.54,3736
2010,Action,0.32,0.17,0,0.54,3737
2001,Sports,0.42,0.11,0,0.54,3738
2009,Fighting,0.35,0.14,0,0.54,3739
2004,Shooter,0.46,0.06,0,0.54,3740
2008,Puzzle,0.42,0.08,0,0.54,3741
2006,Shooter,0.39,0.01,0.1,0.54,3742
2004,Sports,0,0,0.54,0.54,3743
2003,Sports,0.26,0.21,0,0.54,3744
2011,Role-Playing,0,0.05,0.48,0.54,3745
2006,Platform,0.45,0.02,0,0.54,3746
2001,Sports,0.3,0.2,0,0.54,3747
2016,Action,0.14,0.32,0,0.54,3748
2012,Action,0.32,0.17,0,0.54,3749
1982,Platform,0.5,0.03,0,0.54,3750
2008,Role-Playing,0.04,0.01,0.48,0.54,3751
2003,Platform,0.26,0.2,0,0.54,3752
2003,Fighting,0.26,0.2,0,0.54,3753
2008,Role-Playing,0.22,0.05,0.24,0.54,3754
N/A,Sports,0.41,0.11,0,0.54,3755
2005,Action,0.26,0.2,0,0.54,3756
2015,Shooter,0.13,0.37,0,0.54,3757
1998,Adventure,0,0,0.53,0.53,3758
2009,Puzzle,0.21,0.27,0,0.53,3759
2001,Shooter,0.26,0.2,0,0.53,3760
1996,Adventure,0.07,0.05,0.38,0.53,3761
2005,Sports,0.45,0.02,0,0.53,3762
2008,Action,0.49,0,0,0.53,3763
2004,Misc,0.26,0.2,0,0.53,3764
2013,Role-Playing,0.25,0.07,0.17,0.53,3765
2010,Role-Playing,0.15,0.07,0.27,0.53,3766
2003,Action,0.26,0.2,0,0.53,3767
2004,Misc,0.38,0.14,0,0.53,3768
2004,Sports,0.44,0.02,0,0.53,3769
2000,Racing,0.3,0.2,0,0.53,3770
2004,Shooter,0.26,0.2,0,0.53,3771
2004,Misc,0.4,0.11,0,0.53,3772
2006,Role-Playing,0.18,0,0.33,0.53,3773
2009,Simulation,0.26,0.21,0,0.53,3774
2003,Sports,0.26,0.2,0,0.53,3775
1999,Platform,0.3,0.2,0,0.53,3776
2008,Racing,0.26,0.2,0,0.53,3777
2004,Sports,0.4,0.11,0,0.53,3778
1996,Misc,0.3,0.2,0,0.53,3779
2015,Action,0.28,0.19,0.02,0.53,3780
2011,Misc,0.39,0.1,0,0.53,3781
1993,Sports,0,0,0.53,0.53,3782
1994,Strategy,0,0,0.53,0.53,3783
1993,Sports,0,0,0.53,0.53,3784
2005,Action,0.34,0.17,0,0.53,3785
2010,Misc,0.09,0.32,0,0.53,3786
2015,Platform,0.23,0.14,0.12,0.53,3787
2005,Racing,0.32,0.19,0,0.53,3788
2011,Sports,0.12,0.26,0.02,0.53,3789
2005,Shooter,0.32,0.19,0,0.53,3790
2011,Action,0.16,0.28,0,0.53,3791
2004,Platform,0.26,0.2,0,0.53,3792
2002,Action,0.31,0.19,0,0.53,3793
2005,Sports,0.26,0.2,0,0.53,3794
2012,Racing,0.2,0.27,0.02,0.53,3795
2000,Action,0.43,0.09,0,0.53,3796
2008,Simulation,0.48,0,0,0.53,3797
2007,Shooter,0.35,0.1,0,0.53,3798
2004,Role-Playing,0.41,0.11,0,0.53,3799
2010,Adventure,0.27,0.21,0,0.53,3800
2010,Simulation,0.5,0,0,0.53,3801
1997,Strategy,0,0,0.49,0.53,3802
2011,Shooter,0.23,0.2,0.01,0.53,3803
2009,Shooter,0.32,0.15,0,0.53,3804
2010,Sports,0.28,0.2,0,0.53,3805
2007,Racing,0.17,0.26,0,0.53,3806
2007,Misc,0.48,0,0,0.53,3807
2009,Racing,0.08,0.29,0,0.53,3808
2001,Action,0.26,0.2,0,0.53,3809
2002,Action,0.41,0.11,0,0.53,3810
2005,Racing,0.26,0.2,0,0.53,3811
2005,Action,0.44,0.02,0,0.53,3812
2013,Action,0.2,0.2,0,0.53,3813
1994,Sports,0,0,0.53,0.53,3814
2008,Action,0.48,0.01,0,0.53,3815
2013,Shooter,0.28,0.17,0,0.53,3816
2009,Puzzle,0.3,0.03,0.16,0.53,3817
2014,Misc,0.35,0.13,0,0.53,3818
2007,Action,0.22,0.16,0.04,0.53,3819
1999,Racing,0.49,0.03,0,0.53,3820
1996,Sports,0.49,0.03,0,0.53,3821
2000,Misc,0,0,0.49,0.53,3822
2003,Shooter,0.26,0.2,0,0.53,3823
2005,Sports,0.24,0.09,0.19,0.52,3824
1999,Simulation,0,0,0.52,0.52,3825
2008,Action,0.47,0.01,0,0.52,3826
1999,Adventure,0.29,0.2,0,0.52,3827
2006,Racing,0.46,0.01,0.02,0.52,3828
2006,Role-Playing,0,0,0.52,0.52,3829
2008,Role-Playing,0.37,0.11,0,0.52,3830
2009,Misc,0.09,0.37,0,0.52,3831
2009,Fighting,0.45,0.04,0,0.52,3832
2006,Fighting,0.46,0.02,0,0.52,3833
2007,Action,0.13,0,0,0.52,3834
2001,Role-Playing,0.29,0.2,0,0.52,3835
2007,Sports,0.47,0,0,0.52,3836
2001,Shooter,0.29,0.2,0,0.52,3837
2009,Shooter,0.44,0.04,0,0.52,3838
2002,Action,0.18,0.14,0.16,0.52,3839
2005,Puzzle,0.26,0.2,0,0.52,3840
2002,Sports,0.39,0.11,0,0.52,3841
2008,Action,0.18,0.08,0.22,0.52,3842
2008,Sports,0.46,0,0.02,0.52,3843
2011,Role-Playing,0.35,0.12,0,0.52,3844
2000,Fighting,0.29,0.2,0,0.52,3845
1993,Platform,0.28,0.07,0.16,0.52,3846
1999,Action,0.29,0.2,0,0.52,3847
2014,Role-Playing,0.15,0.07,0.28,0.52,3848
1998,Fighting,0.12,0.08,0.28,0.52,3849
2008,Action,0.17,0.29,0,0.52,3850
2009,Simulation,0.23,0.24,0,0.52,3851
2012,Action,0.26,0.15,0.01,0.52,3852
2007,Action,0.09,0.32,0,0.52,3853
2010,Misc,0.46,0.02,0,0.52,3854
2008,Action,0.21,0.21,0,0.52,3855
2000,Sports,0.17,0.13,0.18,0.52,3856
2003,Sports,0,0,0.52,0.52,3857
2006,Action,0.25,0.19,0.02,0.52,3858
2007,Action,0.44,0.04,0,0.52,3859
2003,Shooter,0.25,0.2,0,0.52,3860
2005,Shooter,0.38,0.12,0,0.52,3861
2005,Adventure,0.37,0.14,0,0.52,3862
2007,Action,0.36,0.04,0.08,0.52,3863
2006,Sports,0.47,0,0.01,0.52,3864
2005,Action,0.25,0.2,0,0.52,3865
1999,Strategy,0.1,0.07,0.31,0.52,3866
2006,Misc,0,0,0.52,0.52,3867
2005,Sports,0.25,0.2,0,0.52,3868
2002,Sports,0.37,0.14,0,0.52,3869
2004,Action,0.37,0.14,0,0.52,3870
2007,Misc,0.48,0,0,0.52,3871
1999,Shooter,0.17,0.11,0.2,0.52,3872
2006,Simulation,0.46,0.05,0,0.52,3873
2008,Action,0.35,0.12,0,0.52,3874
2002,Sports,0.38,0.11,0,0.52,3875
2001,Sports,0.29,0.19,0,0.52,3876
2002,Misc,0.25,0.2,0,0.52,3877
2007,Misc,0.46,0.02,0,0.51,3878
2002,Action,0.13,0.1,0.25,0.51,3879
2009,Role-Playing,0,0.46,0,0.51,3880
2013,Fighting,0.29,0.17,0.01,0.51,3881
N/A,Sports,0.48,0.03,0,0.51,3882
2001,Misc,0.25,0.2,0,0.51,3883
2014,Action,0.34,0.13,0,0.51,3884
2010,Role-Playing,0.13,0.07,0.27,0.51,3885
2010,Action,0.17,0.25,0,0.51,3886
1996,Sports,0.08,0.05,0.35,0.51,3887
2009,Puzzle,0.35,0.12,0,0.51,3888
2002,Racing,0.25,0.2,0,0.51,3889
2015,Strategy,0.18,0.29,0,0.51,3890
2012,Sports,0.29,0.18,0,0.51,3891
2009,Fighting,0.12,0.2,0.07,0.51,3892
2009,Action,0.26,0.21,0,0.51,3893
2014,Role-Playing,0.17,0.23,0.02,0.51,3894
2009,Sports,0.12,0.27,0.06,0.51,3895
2011,Shooter,0.25,0.21,0,0.51,3896
2008,Misc,0,0,0.51,0.51,3897
2003,Sports,0.4,0.1,0,0.51,3898
2003,Sports,0,0,0.51,0.51,3899
2000,Role-Playing,0.25,0.2,0,0.51,3900
1997,Sports,0.28,0.19,0,0.51,3901
2006,Sports,0.47,0,0,0.51,3902
2008,Sports,0.46,0.01,0,0.51,3903
2007,Strategy,0.28,0.03,0.17,0.51,3904
